case,N,d_init_s,d_sens_s,d_proc_s,d_tx_s,d_cca_s,d_wait_s,d_rx_s,d_total_s,d_sleep_s,E_cycle_J_mean,E_cycle_J_std,E_day_J_mean,E_day_J_total,E_day_J_std,E_day_J_min,E_day_J_max,Life_days_mean,PDR_AP,PDR_MAC,Collision_Rate,CCA_Attempts_Per_Pkt,Backoff_Slots_Per_Pkt,Retransmissions_Per_Pkt,TX_Attempts_Per_Pkt,Drop_No_Access,Drop_No_ACK,Phy_Err_Up,Phy_Err_Dw,Generated_Packets_Per_Day,Delivered_Packets_Per_Day,Energy_Per_Delivered_Packet_J
No MAC,20,0.005000000000000001,0.10000000000000002,6.250000000000001e-05,0.1024,0.0,0.0010000000000000002,0.004000000000000001,0.2124625,59.787537500000006,0.015798868337999997,3.469446951953614e-18,22.750370406719995,455.0074081343999,3.645007325606123e-15,22.75037040672,22.75037040672,284.83052733444464,,,,,,,,,,,,28800.0,28800.0,0.015798868337999997
MAC,20,0.005000000000000001,0.10000000000000002,6.250000000000001e-05,0.11069695238095237,0.0008792326530612243,0.011867678911564625,0.003981741496598639,0.23248810544217688,59.76751189455782,0.017031527202952652,3.448011059758587e-05,24.525399172251817,490.5079834450363,0.050941219752899565,24.42461933630615,24.610401710210347,264.21696661109087,0.9947278911564627,0.9947278911564627,0.0007159743096638504,1.0990408163265306,4.7392925170068025,0.0006938775510204081,0.9954761904761905,5.1066666666666665,0.013333333333333334,0.0,0.0,28800.0,28648.163265306124,0.017121795170689274
MAC + BTMA 10% hidden,20,0.005000000000000001,0.10000000000000002,6.250000000000001e-05,0.14456378231292516,0.001162808163265306,0.015862878911564623,0.005199891156462585,0.27185186054421767,59.728148139455776,0.02167224505636816,0.013670208147043925,31.208032881170162,624.1606576234033,20.196486183405852,24.451759341503994,90.26265807394088,243.81441857537644,0.8858027210884355,0.8858027210884355,0.030639616543523106,1.4535102040816326,6.37143537414966,0.31353741496598636,1.3000340136054422,13.226666666666667,98.62,366.41333333333336,0.0,28800.0,25511.118367346942,0.02446622090948001
No MAC,40,0.005,0.1,6.25e-05,0.1024,0.0,0.001,0.004,0.2124625,59.7875375,0.015798868338,0.0,22.75037040672,910.0148162687999,0.0,22.75037040672,22.75037040672,284.8305273344446,,,,,,,,,,,,57600.0,57600.0,0.015798868337999997
MAC,40,0.005,0.1,6.25e-05,0.1101254448979592,0.0009625034013605443,0.01444426530612245,0.003961102040816326,0.23455581564625846,59.76544418435374,0.01697821524545951,5.449747194511654e-05,24.448629953461694,977.9451981384677,0.07947609875331414,24.2495529222575,24.56615613333864,265.0482633045295,0.988391156462585,0.988391156462585,0.001919349531059772,1.2031292517006804,6.033765306122448,0.0018775510204081635,0.9903367346938775,22.613333333333333,0.013333333333333334,0.0,0.0,57600.0,56931.3306122449,0.017177627637041903
MAC + BTMA 10% hidden,40,0.005,0.1,6.25e-05,0.14452179863945575,0.0012889632653061225,0.01961947755102041,0.005198340136054422,0.2756910795918367,59.724308920408156,0.02170207785705951,0.013660553565930178,31.250992114165694,1250.0396845666278,19.92179573621662,24.14874964752117,90.26265807394088,243.36911898948324,0.8693061224489796,0.8693061224489796,0.0573047255433468,1.6112040816326532,8.25019387755102,0.3289319727891156,1.299656462585034,57.36666666666667,198.64,696.3133333333334,0.0,57600.0,50072.03265306123,0.02496482803540041
No MAC,60,0.005000000000000001,0.09999999999999996,6.25e-05,0.10240000000000003,0.0,0.001,0.004,0.21246250000000005,59.787537499999985,0.015798868338,0.0,22.750370406720005,1365.0222244032004,7.165389832971566e-15,22.75037040672,22.75037040672,284.8305273344446,,,,,,,,,,,,86400.0,86400.0,0.015798868338000004
MAC,60,0.005000000000000001,0.09999999999999996,6.25e-05,0.1093610394557823,0.0010555501133786846,0.017396443537414968,0.003933659863945578,0.23680919297052153,59.763190807029474,0.016902213893694527,7.450611791530996e-05,24.33918800692012,1460.3512804152074,0.10819421664991888,24.00259756952424,24.575562626436444,266.24250313066324,0.9798866213151928,0.9798866213151928,0.0035991390151124862,1.319437641723356,7.518095238095238,0.0035056689342403626,0.9834625850340136,58.92,0.06666666666666667,0.0,0.0,86400.0,84662.20408163266,0.017249152632585765
MAC + BTMA 10% hidden,60,0.005000000000000001,0.09999999999999996,6.25e-05,0.14419412426303854,0.00143020589569161,0.023905532879818593,0.005186585034013604,0.2797789480725623,59.72022105192744,0.021698071792277496,0.013661625098454,31.24522338087959,1874.7134028527755,19.838757769828284,24.03491969415967,90.26265807394088,243.43260233401742,0.8486485260770975,0.8486485260770975,0.09001300663627247,1.7877573696145126,10.39675283446712,0.34590929705215423,1.2967097505668934,144.62666666666667,300.14,973.0466666666666,0.0,86400.0,73323.23265306122,0.02556779529515884
No MAC,80,0.004999999999999999,0.09999999999999999,6.250000000000001e-05,0.10240000000000002,0.0,0.0010000000000000002,0.004000000000000001,0.2124625,59.7875375,0.015798868338000004,3.469446951953614e-18,22.750370406720002,1820.0296325376003,3.575128498501297e-15,22.75037040672,22.75037040672,284.8305273344445,,,,,,,,,,,,115200.0,115200.0,0.015798868338000004
MAC,80,0.004999999999999999,0.09999999999999999,6.250000000000001e-05,0.10846633333333333,0.0011447006802721088,0.020178654421768704,0.003901489795918367,0.2387536782312925,59.7612463217687,0.016806927138919386,0.00010942528946051681,24.201975080043916,1936.1580064035134,0.15856657442553854,23.686700277340208,24.527256247632202,267.75814274587776,0.9701581632653059,0.9701581632653059,0.005359982920444897,1.4308758503401362,8.9188537414966,0.005188775510204081,0.9754166666666666,116.69333333333333,0.1,0.0,0.0,115200.0,111762.22040816324,0.017323904261498498
MAC + BTMA 10% hidden,80,0.004999999999999999,0.09999999999999999,6.250000000000001e-05,0.14374491156462582,0.0015564734693877549,0.02769990884353742,0.005170421768707483,0.2832342156462585,59.71676578435374,0.021672923671892653,0.01367001522734432,31.209010087525417,2496.7208070020333,19.809017619524415,23.810326344197478,90.26265807394088,243.8297099507679,0.8300068027210886,0.8300068027210886,0.11484822545901899,1.9455918367346938,12.29878911564626,0.35959353741496597,1.292670068027211,262.3066666666667,403.78,1230.2466666666667,0.0,115200.0,95616.78367346941,0.0261117422180641
No MAC,100,0.004999999999999999,0.09999999999999998,6.250000000000001e-05,0.1024,0.0,0.0010000000000000002,0.004000000000000001,0.21246250000000003,59.787537500000006,0.015798868338,0.0,22.75037040672,2275.037040672,0.0,22.75037040672,22.75037040672,284.8305273344445,,,,,,,,,,,,144000.0,144000.0,0.015798868338
MAC,100,0.004999999999999999,0.09999999999999998,6.250000000000001e-05,0.10743629605442177,0.001227731156462585,0.022804389115646258,0.0038644462585034015,0.24039536258503402,59.75960463741497,0.016691763218140504,0.00012631562198074179,24.03613903412233,2403.613903412233,0.18281084651803187,23.42562041983033,24.39942070990393,269.6095565948079,0.9594367346938778,0.9594367346938778,0.006927679279407461,1.5346639455782316,10.24283537414966,0.006635374149659864,0.9661537414965986,198.33333333333334,0.19333333333333333,0.0,0.0,144000.0,138158.8897959184,0.017397461046210885
MAC + BTMA 10% hidden,100,0.004999999999999999,0.09999999999999998,6.250000000000001e-05,0.1428148408163265,0.0016785306122448975,0.031414637823129254,0.005137001360544219,0.28610751061224493,59.713892489387746,0.021581676012355753,0.01370090861408088,31.077613457792285,3107.7613457792286,19.82870101520923,23.782556099924378,90.26395707497142,245.245404109215,0.8088394557823129,0.8088394557823129,0.1396724195474088,2.098163265306122,14.166185034013607,0.3719074829931973,1.2843061224489796,429.1933333333333,507.1666666666667,1449.46,0.0,144000.0,116472.88163265305,0.026682274038525813
No MAC,200,0.004999999999999999,0.1,6.250000000000001e-05,0.10240000000000002,0.0,0.0010000000000000002,0.004000000000000001,0.2124625,59.7875375,0.015798868338000004,3.469446951953614e-18,22.750370406720002,4550.074081344001,3.561628909076017e-15,22.75037040672,22.75037040672,284.83052733444447,,,,,,,,,,,,288000.0,288000.0,0.015798868338000004
MAC,200,0.004999999999999999,0.1,6.250000000000001e-05,0.10188476843537414,0.0016343374149659865,0.035645118639455776,0.003664786394557823,0.24789151088435374,59.752108489115656,0.01605871177253613,0.00017706182999589713,23.124544952452023,4624.908990490405,0.2556088581202807,22.16046350668408,23.705099377447436,280.2559943225429,0.9002326530612245,0.9002326530612245,0.017453668752351863,2.042921768707483,16.72310340136054,0.01589659863945578,0.9162299319727891,976.6533333333333,0.66,0.0,0.0,288000.0,259267.00408163265,0.017838401793057356
MAC + BTMA 10% hidden,200,0.004999999999999999,0.1,6.250000000000001e-05,0.13731006258503398,0.0022385485714285715,0.048630752925170065,0.00493901768707483,0.2981808817687075,59.701819118231285,0.020996454315091916,0.013897135270637554,30.23489421373236,6046.978842746472,20.062092873167845,22.56457392324205,90.2645426351608,254.74817557334674,0.705844217687075,0.705844217687075,0.24789717712875936,2.7981857142857143,22.83364217687075,0.4233231292517007,1.2348027210884356,1847.3866666666668,1034.7533333333333,2182.806666666667,0.0,288000.0,203283.1346938776,0.029746584003894704
No MAC,400,0.004999999999999999,0.1,6.250000000000001e-05,0.10240000000000002,0.0,0.0010000000000000002,0.004000000000000001,0.2124625,59.7875375,0.015798868338000004,3.469446951953614e-18,22.750370406720002,9100.148162688001,3.557162914956953e-15,22.75037040672,22.75037040672,284.83052733444447,,,,,,,,,,,,576000.0,576000.0,0.015798868338000004
MAC,400,0.004999999999999999,0.1,6.250000000000001e-05,0.0880171450340136,0.0023311072108843536,0.05782383523809523,0.003165959183673469,0.2564005466666667,59.74359945333334,0.014383915534038465,0.00026376972975346953,20.71283836901539,8285.135347606156,0.3803040884400873,19.661909390168027,21.803546625010675,312.9547277497179,0.7546795918367347,0.7546795918367347,0.046533518539618166,2.9138840136054416,27.962110884353738,0.03668605442176871,0.7915210884353742,4804.8,2.44,0.0,0.0,576000.0,434695.4448979592,0.0190596323123446
