case,N,blockage_mode,blocked_fraction,E_cycle_J_mean,E_cycle_J_std,E_day_J_mean,E_day_J_total,E_day_J_std,E_day_J_min,E_day_J_max,Life_days_mean,d_tx_s_mean,d_rx_s_mean,d_cca_s_mean,d_wait_s_mean,d_total_s_mean,PDR_AP,PDR_MAC,True_MAC_Collision_Rate,PHY_UL_Failure_Rate,PHY_DL_Failure_Rate,Payload_Throughput_kbps,Union_Active_Payload_Throughput_Normalized,Union_Active_Time_s,CCA_Attempts_Per_Generated_Packet,Backoff_Slots_Per_Generated_Packet,MAC_Blocked_Packets_Per_Generated_Packet,Retransmissions_Per_Generated_Packet,Generated_Packets_Per_Day,Delivered_Packets_Per_Day,Energy_Per_Generated_Packet_J,Energy_Per_Delivered_Packet_J
No MAC overhead,50,none,0.0,0.015918745457999997,3.469446951953614e-18,22.922993459520004,1146.1496729760001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445,0.10240000000000002,0.012800000000000002,0.0,0.001,0.2212625,,,,,,,,,,,,,72000.0,72000.0,0.015918745458,0.015918745458
CSMA/CA,50,none,0.0,0.017061554917587263,6.945798142060153e-05,24.56863908132566,1228.431954066283,0.10001949324566627,24.22737991688385,24.737513441763518,263.75526034736134,0.10976877278911563,0.012634592653061225,0.0010076016326530613,0.01587183455782313,0.24434530163265303,0.9844680272108843,0.9844680272108843,0.0032242663564925373,0.0,0.0,0.8232777955555555,0.764107904871674,323.2298135852751,1.2595020408163267,6.751393197278912,0.015466666666666665,0.002598639455782313,72000.0,70881.69795918367,0.017061554917587263,0.0173307354286809
"CSMA/CA, $10\%$ UL+DL blocked",50,both,0.1,0.02150822338796075,0.013884047928275401,30.971841678663473,1548.5920839331736,19.993029016716584,23.770207561827522,90.95310331288162,247.0595097249612,0.14194990149659864,0.016338651428571428,0.001284397278911565,0.019906961632653063,0.2845424118367346,0.8742285714285716,0.8742285714285716,0.002981290585908478,0.09999383896034914,0.0,0.7310882133333333,0.5378907793002395,407.9011335297083,1.6054965986394558,8.421689795918367,0.025714285714285714,0.302247619047619,72000.0,62944.45714285715,0.021508223387960743,0.024602517111531014
"CSMA/CA, $10\%$ DL-only blocked",50,downlink,0.1,0.0221777930933583,0.013663118233857836,31.93602205443595,1596.8011027217974,19.674890256755283,24.813773745842937,90.95310331288162,236.98048515464848,0.14671258993197278,0.016886874557823128,0.001367405714285714,0.021715592925170064,0.2917449631292517,0.9551156462585034,0.8622149659863946,0.05098836962859368,0.0,0.0815821416743611,0.7210416355555556,0.5244176779913197,412.525425294449,1.7092571428571428,9.274609523809522,0.03385578231292517,0.35321904761904765,72000.0,62079.47755102041,0.022177793093358298,0.025721883716071165
No MAC overhead,100,none,0.0,0.015918745458000007,6.938893903907228e-18,22.922993459520004,2292.2993459520003,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.1024,0.0128,0.0,0.0010000000000000002,0.22126250000000003,,,,,,,,,,,,,144000.0,144000.0,0.015918745458,0.015918745458
CSMA/CA,100,none,0.0,0.016806880223376747,0.00012817510271491235,24.20190752166252,2420.190752166252,0.18457214790947382,23.62411851430687,24.594294906163988,267.7631227203858,0.10743024435374152,0.012365496598639454,0.0012282078911564625,0.02281827156462585,0.24890472040816328,0.9594068027210885,0.9594068027210885,0.009000621138899611,0.0,0.0,1.6046398577777778,0.7648842697013551,629.3636602150855,1.5352598639455781,10.249843537414964,0.04052108843537415,0.006627210884353741,144000.0,138154.57959183675,0.01680688022337675,0.017517991508616305
"CSMA/CA, $10\%$ UL+DL blocked",100,both,0.1,0.021122258696955786,0.01401303607763488,30.416052523616326,3041.6052523616327,20.17877195179423,22.907043515799764,90.9544492861714,253.33301439386295,0.13861435537414965,0.01595486040816327,0.0015214465306122445,0.027409595646258507,0.2885627579591837,0.840960544217687,0.840960544217687,0.007927211686039609,0.09999520653566371,0.0,1.4065345422222224,0.5450651874202352,774.3941828031054,1.9018081632653063,12.208994557823132,0.058972789115646254,0.3055156462585034,144000.0,121098.31836734692,0.021122258696955783,0.02511682485247272
"CSMA/CA, $10\%$ DL-only blocked",100,downlink,0.1,0.022250776384654395,0.013640125648300291,32.04111799390233,3204.111799390233,19.64178093355242,24.347175882964898,90.9544492861714,235.96282252063685,0.1465799063945578,0.016871740952380955,0.0016918236734693875,0.03134974095238095,0.30155571197278913,0.8987877551020408,0.812847619047619,0.1015492013476738,0.0,0.06660844993342013,1.3595147377777779,0.5171925839029101,788.6693239468808,2.1147795918367347,14.093108843537417,0.08000816326530613,0.3981836734693878,144000.0,117050.05714285714,0.022250776384654395,0.027373859335067918
No MAC overhead,150,none,0.0,0.015918745458000004,3.469446951953614e-18,22.922993459520004,3438.4490189280004,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.10240000000000003,0.012800000000000004,0.0,0.0010000000000000002,0.22126250000000003,,,,,,,,,,,,,216000.0,216000.0,0.015918745458,0.015918745458
CSMA/CA,150,none,0.0,0.016520141720349078,0.00014957189820899834,23.789004077302675,3568.3506115954015,0.2153835334209578,23.121566354019517,24.22457233959732,272.4172130745049,0.10488010811791383,0.01207200798185941,0.001438294058956916,0.029437631201814054,0.25289054136054423,0.9318603174603175,0.9318603174603175,0.01609475103843757,0.0,0.0,2.3378511644444444,0.7655399193255054,916.1530848032411,1.7978675736961451,13.587040362811791,0.06804716553287982,0.011222675736961452,216000.0,201281.82857142857,0.01652014172034908,0.017728130934229397
"CSMA/CA, $10\%$ UL+DL blocked",150,both,0.1,0.020706094264455743,0.01415218588249608,29.816775740816276,4472.516361122442,20.379147670794357,22.132814526364992,90.9550348463608,260.46734640141113,0.13508414621315193,0.01554859247165533,0.001745544126984127,0.03453821061224489,0.29197899342403627,0.8058349206349207,0.8058349206349207,0.013531298602065653,0.09999497742242056,0.0,2.021678648888889,0.551475257044057,1100.0785050702716,2.1819301587301587,15.811393197278909,0.09408979591836734,0.3088888888888889,216000.0,174060.34285714288,0.020706094264455747,0.02569520597114522
